Runs :100
Difference : 1.0E-4
0.550000 100 0 0.0
0.550100 100 0 0.0
0.550200 100 0 0.0
0.550300 100 0 0.0
0.550400 100 0 0.0
0.550500 100 0 0.0
0.550600 100 0 0.0
0.550700 100 1 0.01
0.550800 100 0 0.0
0.550900 100 0 0.0
0.551000 100 0 0.0
0.551100 100 0 0.0
0.551200 100 0 0.0
0.551300 100 0 0.0
0.551400 100 0 0.0
0.551500 100 0 0.0
0.551600 100 0 0.0
0.551700 100 4 0.04
0.551800 100 0 0.0
0.551900 100 0 0.0
0.552000 100 0 0.0
0.552100 100 0 0.0
0.552200 100 0 0.0
0.552300 100 0 0.0
0.552400 100 0 0.0
0.552500 100 3 0.03
0.552600 100 0 0.0
0.552700 100 0 0.0
0.552800 100 1 0.01
0.552900 100 1 0.01
0.553000 100 0 0.0
0.553100 100 0 0.0
0.553200 100 0 0.0
0.553300 100 0 0.0
0.553400 100 0 0.0
0.553500 100 1 0.01
0.553600 100 1 0.01
0.553700 100 0 0.0
0.553800 100 1 0.01
0.553900 100 0 0.0
0.554000 100 1 0.01
0.554100 100 0 0.0
0.554200 100 0 0.0
0.554300 100 1 0.01
0.554400 100 1 0.01
0.554500 100 1 0.01
0.554600 100 1 0.01
0.554700 100 0 0.0
0.554800 100 1 0.01
0.554900 100 1 0.01
0.555000 100 1 0.01
0.555100 100 0 0.0
0.555200 100 2 0.02
0.555300 100 2 0.02
0.555400 100 1 0.01
0.555500 100 3 0.03
0.555600 100 1 0.01
0.555700 100 1 0.01
0.555800 100 1 0.01
0.555900 100 1 0.01
0.556000 100 0 0.0
0.556100 100 1 0.01
0.556200 100 0 0.0
0.556300 100 1 0.01
0.556400 100 1 0.01
0.556500 100 1 0.01
0.556600 100 1 0.01
0.556700 100 1 0.01
0.556800 100 1 0.01
0.556900 100 2 0.02
0.557000 100 3 0.03
0.557100 100 0 0.0
0.557200 100 2 0.02
0.557300 100 2 0.02
0.557400 100 2 0.02
0.557500 100 2 0.02
0.557600 100 1 0.01
0.557700 100 2 0.02
0.557800 100 1 0.01
0.557900 100 0 0.0
0.558000 100 3 0.03
0.558100 100 0 0.0
0.558200 100 1 0.01
0.558300 100 2 0.02
0.558400 100 1 0.01
0.558500 100 2 0.02
0.558600 100 1 0.01
0.558700 100 1 0.01
0.558800 100 1 0.01
0.558900 100 2 0.02
0.559000 100 2 0.02
0.559100 100 0 0.0
0.559200 100 2 0.02
0.559300 100 1 0.01
0.559400 100 1 0.01
0.559500 100 1 0.01
0.559600 100 0 0.0
0.559700 100 7 0.07
0.559800 100 3 0.03
0.559900 100 1 0.01
0.560000 100 1 0.01
0.560100 100 2 0.02
0.560200 100 2 0.02
0.560300 100 0 0.0
0.560400 100 0 0.0
0.560500 100 0 0.0
0.560600 100 2 0.02
0.560700 100 1 0.01
0.560800 100 1 0.01
0.560900 100 3 0.03
0.561000 100 1 0.01
0.561100 100 2 0.02
0.561200 100 1 0.01
0.561300 100 0 0.0
0.561400 100 4 0.04
0.561500 100 1 0.01
0.561600 100 4 0.04
0.561700 100 4 0.04
0.561800 100 2 0.02
0.561900 100 2 0.02
0.562000 100 2 0.02
0.562100 100 3 0.03
0.562200 100 2 0.02
0.562300 100 2 0.02
0.562400 100 1 0.01
0.562500 100 3 0.03
0.562600 100 4 0.04
0.562700 100 1 0.01
0.562800 100 1 0.01
0.562900 100 1 0.01
0.563000 100 0 0.0
0.563100 100 4 0.04
0.563200 100 1 0.01
0.563300 100 1 0.01
0.563400 100 6 0.06
0.563500 100 1 0.01
0.563600 100 2 0.02
0.563700 100 1 0.01
0.563800 100 6 0.06
0.563900 100 5 0.05
0.564000 100 2 0.02
0.564100 100 2 0.02
0.564200 100 3 0.03
0.564300 100 3 0.03
0.564400 100 7 0.07
0.564500 100 4 0.04
0.564600 100 5 0.05
0.564700 100 4 0.04
0.564800 100 2 0.02
0.564900 100 4 0.04
0.565000 100 4 0.04
0.565100 100 3 0.03
0.565200 100 0 0.0
0.565300 100 4 0.04
0.565400 100 2 0.02
0.565500 100 1 0.01
0.565600 100 0 0.0
0.565700 100 3 0.03
0.565800 100 5 0.05
0.565900 100 2 0.02
0.566000 100 3 0.03
0.566100 100 4 0.04
0.566200 100 2 0.02
0.566300 100 5 0.05
0.566400 100 2 0.02
0.566500 100 2 0.02
0.566600 100 9 0.09
0.566700 100 4 0.04
0.566800 100 1 0.01
0.566900 100 7 0.07
0.567000 100 1 0.01
0.567100 100 7 0.07
0.567200 100 4 0.04
0.567300 100 6 0.06
0.567400 100 4 0.04
0.567500 100 2 0.02
0.567600 100 3 0.03
0.567700 100 5 0.05
0.567800 100 5 0.05
0.567900 100 9 0.09
0.568000 100 4 0.04
0.568100 100 7 0.07
0.568200 100 1 0.01
0.568300 100 5 0.05
0.568400 100 7 0.07
0.568500 100 3 0.03
0.568600 100 5 0.05
0.568700 100 4 0.04
0.568800 100 5 0.05
0.568900 100 3 0.03
0.569000 100 6 0.06
0.569100 100 3 0.03
0.569200 100 5 0.05
0.569300 100 6 0.06
0.569400 100 6 0.06
0.569500 100 5 0.05
0.569600 100 5 0.05
0.569700 100 6 0.06
0.569800 100 2 0.02
0.569900 100 4 0.04
0.570000 100 3 0.03
0.570100 100 9 0.09
0.570200 100 4 0.04
0.570300 100 6 0.06
0.570400 100 8 0.08
0.570500 100 5 0.05
0.570600 100 7 0.07
0.570700 100 5 0.05
0.570800 100 7 0.07
0.570900 100 7 0.07
0.571000 100 4 0.04
0.571100 100 10 0.1
0.571200 100 3 0.03
0.571300 100 1 0.01
0.571400 100 9 0.09
0.571500 100 5 0.05
0.571600 100 4 0.04
0.571700 100 8 0.08
0.571800 100 5 0.05
0.571900 100 5 0.05
0.572000 100 9 0.09
0.572100 100 7 0.07
0.572200 100 7 0.07
0.572300 100 7 0.07
0.572400 100 9 0.09
0.572500 100 11 0.11
0.572600 100 5 0.05
0.572700 100 6 0.06
0.572800 100 15 0.15
0.572900 100 9 0.09
0.573000 100 5 0.05
0.573100 100 12 0.12
0.573200 100 5 0.05
0.573300 100 5 0.05
0.573400 100 3 0.03
0.573500 100 7 0.07
0.573600 100 8 0.08
0.573700 100 10 0.1
0.573800 100 15 0.15
0.573900 100 9 0.09
0.574000 100 10 0.1
0.574100 100 11 0.11
0.574200 100 8 0.08
0.574300 100 3 0.03
0.574400 100 13 0.13
0.574500 100 15 0.15
0.574600 100 10 0.1
0.574700 100 4 0.04
0.574800 100 8 0.08
0.574900 100 16 0.16
0.575000 100 13 0.13
0.575100 100 9 0.09
0.575200 100 4 0.04
0.575300 100 13 0.13
0.575400 100 15 0.15
0.575500 100 13 0.13
0.575600 100 14 0.14
0.575700 100 10 0.1
0.575800 100 13 0.13
0.575900 100 11 0.11
0.576000 100 17 0.17
0.576100 100 10 0.1
0.576200 100 11 0.11
0.576300 100 13 0.13
0.576400 100 11 0.11
0.576500 100 16 0.16
0.576600 100 13 0.13
0.576700 100 12 0.12
0.576800 100 8 0.08
0.576900 100 17 0.17
0.577000 100 10 0.1
0.577100 100 18 0.18
0.577200 100 23 0.23
0.577300 100 20 0.2
0.577400 100 13 0.13
0.577500 100 12 0.12
0.577600 100 9 0.09
0.577700 100 12 0.12
0.577800 100 18 0.18
0.577900 100 15 0.15
0.578000 100 13 0.13
0.578100 100 21 0.21
0.578200 100 14 0.14
0.578300 100 17 0.17
0.578400 100 20 0.2
0.578500 100 19 0.19
0.578600 100 23 0.23
0.578700 100 18 0.18
0.578800 100 19 0.19
0.578900 100 18 0.18
0.579000 100 18 0.18
0.579100 100 26 0.26
0.579200 100 24 0.24
0.579300 100 12 0.12
0.579400 100 17 0.17
0.579500 100 15 0.15
0.579600 100 13 0.13
0.579700 100 14 0.14
0.579800 100 24 0.24
0.579900 100 11 0.11
0.580000 100 20 0.2
0.580100 100 23 0.23
0.580200 100 18 0.18
0.580300 100 25 0.25
0.580400 100 19 0.19
0.580500 100 18 0.18
0.580600 100 19 0.19
0.580700 100 15 0.15
0.580800 100 19 0.19
0.580900 100 21 0.21
0.581000 100 20 0.2
0.581100 100 20 0.2
0.581200 100 19 0.19
0.581300 100 21 0.21
0.581400 100 14 0.14
0.581500 100 15 0.15
0.581600 100 24 0.24
0.581700 100 26 0.26
0.581800 100 26 0.26
0.581900 100 29 0.29
0.582000 100 30 0.3
0.582100 100 17 0.17
0.582200 100 25 0.25
0.582300 100 16 0.16
0.582400 100 26 0.26
0.582500 100 22 0.22
0.582600 100 23 0.23
0.582700 100 18 0.18
0.582800 100 22 0.22
0.582900 100 21 0.21
0.583000 100 24 0.24
0.583100 100 28 0.28
0.583200 100 34 0.34
0.583300 100 22 0.22
0.583400 100 21 0.21
0.583500 100 25 0.25
0.583600 100 26 0.26
0.583700 100 35 0.35
0.583800 100 34 0.34
0.583900 100 19 0.19
0.584000 100 36 0.36
0.584100 100 23 0.23
0.584200 100 23 0.23
0.584300 100 24 0.24
0.584400 100 31 0.31
0.584500 100 33 0.33
0.584600 100 18 0.18
0.584700 100 28 0.28
0.584800 100 29 0.29
0.584900 100 22 0.22
0.585000 100 28 0.28
0.585100 100 25 0.25
0.585200 100 29 0.29
0.585300 100 32 0.32
0.585400 100 32 0.32
0.585500 100 38 0.38
0.585600 100 25 0.25
0.585700 100 37 0.37
0.585800 100 32 0.32
0.585900 100 27 0.27
0.586000 100 25 0.25
0.586100 100 35 0.35
0.586200 100 22 0.22
0.586300 100 36 0.36
0.586400 100 36 0.36
0.586500 100 33 0.33
0.586600 100 37 0.37
0.586700 100 35 0.35
0.586800 100 27 0.27
0.586900 100 32 0.32
0.587000 100 37 0.37
0.587100 100 23 0.23
0.587200 100 33 0.33
0.587300 100 32 0.32
0.587400 100 37 0.37
0.587500 100 36 0.36
0.587600 100 40 0.4
0.587700 100 30 0.3
0.587800 100 37 0.37
0.587900 100 41 0.41
0.588000 100 33 0.33
0.588100 100 34 0.34
0.588200 100 34 0.34
0.588300 100 36 0.36
0.588400 100 40 0.4
0.588500 100 34 0.34
0.588600 100 36 0.36
0.588700 100 34 0.34
0.588800 100 35 0.35
0.588900 100 37 0.37
0.589000 100 34 0.34
0.589100 100 40 0.4
0.589200 100 40 0.4
0.589300 100 41 0.41
0.589400 100 40 0.4
0.589500 100 48 0.48
0.589600 100 33 0.33
0.589700 100 51 0.51
0.589800 100 34 0.34
0.589900 100 46 0.46
0.590000 100 41 0.41
0.590100 100 40 0.4
0.590200 100 43 0.43
0.590300 100 51 0.51
0.590400 100 49 0.49
0.590500 100 41 0.41
0.590600 100 48 0.48
0.590700 100 50 0.5
0.590800 100 45 0.45
0.590900 100 44 0.44
0.591000 100 43 0.43
0.591100 100 56 0.56
0.591200 100 51 0.51
0.591300 100 47 0.47
0.591400 100 38 0.38
0.591500 100 47 0.47
0.591600 100 52 0.52
0.591700 100 47 0.47
0.591800 100 47 0.47
0.591900 100 48 0.48
0.592000 100 47 0.47
0.592100 100 46 0.46
0.592200 100 50 0.5
0.592300 100 42 0.42
0.592400 100 54 0.54
0.592500 100 43 0.43
0.592600 100 53 0.53
0.592700 100 56 0.56
0.592800 100 55 0.55
0.592900 100 48 0.48
0.593000 100 56 0.56
0.593100 100 46 0.46
0.593200 100 61 0.61
0.593300 100 64 0.64
0.593400 100 60 0.6
0.593500 100 58 0.58
0.593600 100 49 0.49
0.593700 100 58 0.58
0.593800 100 61 0.61
0.593900 100 57 0.57
0.594000 100 57 0.57
0.594100 100 50 0.5
0.594200 100 59 0.59
0.594300 100 56 0.56
0.594400 100 58 0.58
0.594500 100 53 0.53
0.594600 100 60 0.6
0.594700 100 47 0.47
0.594800 100 61 0.61
0.594900 100 59 0.59
0.595000 100 61 0.61
0.595100 100 60 0.6
0.595200 100 56 0.56
0.595300 100 57 0.57
0.595400 100 55 0.55
0.595500 100 52 0.52
0.595600 100 59 0.59
0.595700 100 56 0.56
0.595800 100 61 0.61
0.595900 100 60 0.6
0.596000 100 57 0.57
0.596100 100 62 0.62
0.596200 100 59 0.59
0.596300 100 67 0.67
0.596400 100 59 0.59
0.596500 100 60 0.6
0.596600 100 61 0.61
0.596700 100 61 0.61
0.596800 100 60 0.6
0.596900 100 68 0.68
0.597000 100 59 0.59
0.597100 100 62 0.62
0.597200 100 57 0.57
0.597300 100 70 0.7
0.597400 100 64 0.64
0.597500 100 56 0.56
0.597600 100 58 0.58
0.597700 100 63 0.63
0.597800 100 57 0.57
0.597900 100 58 0.58
0.598000 100 60 0.6
0.598100 100 57 0.57
0.598200 100 72 0.72
0.598300 100 62 0.62
0.598400 100 59 0.59
0.598500 100 63 0.63
0.598600 100 66 0.66
0.598700 100 69 0.69
0.598800 100 66 0.66
0.598900 100 62 0.62
0.599000 100 66 0.66
0.599100 100 70 0.7
0.599200 100 67 0.67
0.599300 100 70 0.7
0.599400 100 66 0.66
0.599500 100 74 0.74
0.599600 100 66 0.66
0.599700 100 72 0.72
0.599800 100 71 0.71
0.599900 100 67 0.67
0.600000 100 73 0.73
0.600100 100 60 0.6
0.600200 100 75 0.75
0.600300 100 73 0.73
0.600400 100 77 0.77
0.600500 100 62 0.62
0.600600 100 65 0.65
0.600700 100 73 0.73
0.600800 100 79 0.79
0.600900 100 67 0.67
0.601000 100 69 0.69
0.601100 100 73 0.73
0.601200 100 81 0.81
0.601300 100 73 0.73
0.601400 100 76 0.76
0.601500 100 74 0.74
0.601600 100 77 0.77
0.601700 100 77 0.77
0.601800 100 66 0.66
0.601900 100 79 0.79
0.602000 100 79 0.79
0.602100 100 78 0.78
0.602200 100 74 0.74
0.602300 100 69 0.69
0.602400 100 83 0.83
0.602500 100 76 0.76
0.602600 100 77 0.77
0.602700 100 79 0.79
0.602800 100 81 0.81
0.602900 100 81 0.81
0.603000 100 66 0.66
0.603100 100 84 0.84
0.603200 100 73 0.73
0.603300 100 78 0.78
0.603400 100 83 0.83
0.603500 100 84 0.84
0.603600 100 79 0.79
0.603700 100 75 0.75
0.603800 100 75 0.75
0.603900 100 70 0.7
0.604000 100 78 0.78
0.604100 100 74 0.74
0.604200 100 82 0.82
0.604300 100 84 0.84
0.604400 100 82 0.82
0.604500 100 83 0.83
0.604600 100 75 0.75
0.604700 100 78 0.78
0.604800 100 88 0.88
0.604900 100 87 0.87
0.605000 100 80 0.8
0.605100 100 79 0.79
0.605200 100 81 0.81
0.605300 100 88 0.88
0.605400 100 88 0.88
0.605500 100 90 0.9
0.605600 100 81 0.81
0.605700 100 84 0.84
0.605800 100 79 0.79
0.605900 100 85 0.85
0.606000 100 82 0.82
0.606100 100 81 0.81
0.606200 100 80 0.8
0.606300 100 79 0.79
0.606400 100 88 0.88
0.606500 100 83 0.83
0.606600 100 84 0.84
0.606700 100 87 0.87
0.606800 100 70 0.7
0.606900 100 87 0.87
0.607000 100 87 0.87
0.607100 100 86 0.86
0.607200 100 89 0.89
0.607300 100 83 0.83
0.607400 100 84 0.84
0.607500 100 86 0.86
0.607600 100 85 0.85
0.607700 100 85 0.85
0.607800 100 88 0.88
0.607900 100 82 0.82
0.608000 100 88 0.88
0.608100 100 90 0.9
0.608200 100 86 0.86
0.608300 100 86 0.86
0.608400 100 95 0.95
0.608500 100 88 0.88
0.608600 100 87 0.87
0.608700 100 90 0.9
0.608800 100 84 0.84
0.608900 100 82 0.82
0.609000 100 89 0.89
0.609100 100 87 0.87
0.609200 100 93 0.93
0.609300 100 89 0.89
0.609400 100 82 0.82
0.609500 100 90 0.9
0.609600 100 92 0.92
0.609700 100 87 0.87
0.609800 100 89 0.89
0.609900 100 88 0.88
0.610000 100 91 0.91
0.610100 100 84 0.84
0.610200 100 90 0.9
0.610300 100 90 0.9
0.610400 100 91 0.91
0.610500 100 94 0.94
0.610600 100 87 0.87
0.610700 100 89 0.89
0.610800 100 85 0.85
0.610900 100 93 0.93
0.611000 100 91 0.91
0.611100 100 90 0.9
0.611200 100 91 0.91
0.611300 100 91 0.91
0.611400 100 93 0.93
0.611500 100 91 0.91
0.611600 100 97 0.97
0.611700 100 84 0.84
0.611800 100 92 0.92
0.611900 100 91 0.91
0.612000 100 90 0.9
0.612100 100 90 0.9
0.612200 100 95 0.95
0.612300 100 91 0.91
0.612400 100 89 0.89
0.612500 100 89 0.89
0.612600 100 92 0.92
0.612700 100 92 0.92
0.612800 100 90 0.9
0.612900 100 94 0.94
0.613000 100 92 0.92
0.613100 100 92 0.92
0.613200 100 96 0.96
0.613300 100 96 0.96
0.613400 100 96 0.96
0.613500 100 95 0.95
0.613600 100 90 0.9
0.613700 100 93 0.93
0.613800 100 91 0.91
0.613900 100 94 0.94
0.614000 100 90 0.9
0.614100 100 97 0.97
0.614200 100 95 0.95
0.614300 100 94 0.94
0.614400 100 94 0.94
0.614500 100 93 0.93
0.614600 100 99 0.99
0.614700 100 93 0.93
0.614800 100 93 0.93
0.614900 100 96 0.96
0.615000 100 93 0.93
0.615100 100 94 0.94
0.615200 100 92 0.92
0.615300 100 93 0.93
0.615400 100 96 0.96
0.615500 100 94 0.94
0.615600 100 97 0.97
0.615700 100 94 0.94
0.615800 100 91 0.91
0.615900 100 91 0.91
0.616000 100 96 0.96
0.616100 100 95 0.95
0.616200 100 97 0.97
0.616300 100 96 0.96
0.616400 100 97 0.97
0.616500 100 92 0.92
0.616600 100 94 0.94
0.616700 100 96 0.96
0.616800 100 94 0.94
0.616900 100 93 0.93
0.617000 100 97 0.97
0.617100 100 95 0.95
0.617200 100 95 0.95
0.617300 100 96 0.96
0.617400 100 95 0.95
0.617500 100 94 0.94
0.617600 100 96 0.96
0.617700 100 100 1.0
0.617800 100 96 0.96
0.617900 100 98 0.98
0.618000 100 94 0.94
0.618100 100 95 0.95
0.618200 100 99 0.99
0.618300 100 94 0.94
0.618400 100 97 0.97
0.618500 100 96 0.96
0.618600 100 99 0.99
0.618700 100 98 0.98
0.618800 100 97 0.97
0.618900 100 97 0.97
0.619000 100 95 0.95
0.619100 100 97 0.97
0.619200 100 97 0.97
0.619300 100 98 0.98
0.619400 100 96 0.96
0.619500 100 95 0.95
0.619600 100 96 0.96
0.619700 100 95 0.95
0.619800 100 98 0.98
0.619900 100 99 0.99
0.620000 100 96 0.96
0.620100 100 96 0.96
0.620200 100 93 0.93
0.620300 100 99 0.99
0.620400 100 97 0.97
0.620500 100 97 0.97
0.620600 100 99 0.99
0.620700 100 97 0.97
0.620800 100 97 0.97
0.620900 100 98 0.98
0.621000 100 99 0.99
0.621100 100 96 0.96
0.621200 100 99 0.99
0.621300 100 98 0.98
0.621400 100 99 0.99
0.621500 100 94 0.94
0.621600 100 100 1.0
0.621700 100 100 1.0
0.621800 100 98 0.98
0.621900 100 98 0.98
0.622000 100 97 0.97
0.622100 100 97 0.97
0.622200 100 98 0.98
0.622300 100 97 0.97
0.622400 100 99 0.99
0.622500 100 100 1.0
0.622600 100 95 0.95
0.622700 100 100 1.0
0.622800 100 96 0.96
0.622900 100 95 0.95
0.623000 100 97 0.97
0.623100 100 99 0.99
0.623200 100 98 0.98
0.623300 100 98 0.98
0.623400 100 97 0.97
0.623500 100 98 0.98
0.623600 100 97 0.97
0.623700 100 99 0.99
0.623800 100 98 0.98
0.623900 100 99 0.99
0.624000 100 98 0.98
0.624100 100 97 0.97
0.624200 100 99 0.99
0.624300 100 100 1.0
0.624400 100 99 0.99
0.624500 100 100 1.0
0.624600 100 99 0.99
0.624700 100 100 1.0
0.624800 100 96 0.96
0.624900 100 99 0.99
0.625000 100 99 0.99
0.625100 100 100 1.0
0.625200 100 99 0.99
0.625300 100 97 0.97
0.625400 100 98 0.98
0.625500 100 99 0.99
0.625600 100 99 0.99
0.625700 100 99 0.99
0.625800 100 99 0.99
0.625900 100 99 0.99
0.626000 100 98 0.98
0.626100 100 99 0.99
0.626200 100 100 1.0
0.626300 100 100 1.0
0.626400 100 99 0.99
0.626500 100 99 0.99
0.626600 100 100 1.0
0.626700 100 98 0.98
0.626800 100 98 0.98
0.626900 100 100 1.0
0.627000 100 99 0.99
0.627100 100 100 1.0
0.627200 100 99 0.99
0.627300 100 99 0.99
0.627400 100 100 1.0
0.627500 100 99 0.99
0.627600 100 100 1.0
0.627700 100 99 0.99
0.627800 100 99 0.99
0.627900 100 100 1.0
0.628000 100 99 0.99
0.628100 100 99 0.99
0.628200 100 100 1.0
0.628300 100 100 1.0
0.628400 100 100 1.0
0.628500 100 98 0.98
0.628600 100 100 1.0
0.628700 100 99 0.99
0.628800 100 100 1.0
0.628900 100 100 1.0
0.629000 100 100 1.0
0.629100 100 99 0.99
0.629200 100 99 0.99
0.629300 100 97 0.97
0.629400 100 100 1.0
0.629500 100 100 1.0
0.629600 100 100 1.0
0.629700 100 100 1.0
0.629800 100 99 0.99
0.629900 100 98 0.98
0.630000 100 100 1.0
