Runs :400
Difference : 0.001
0.550000 400 0 0.0
0.551000 400 0 0.0
0.552000 400 0 0.0
0.553000 400 0 0.0
0.554000 400 0 0.0
0.555000 400 0 0.0
0.556000 400 0 0.0
0.557000 400 0 0.0
0.558000 400 0 0.0
0.559000 400 0 0.0
0.560000 400 0 0.0
0.561000 400 0 0.0
0.562000 400 0 0.0
0.563000 400 0 0.0
0.564000 400 0 0.0
0.565000 400 0 0.0
0.566000 400 0 0.0
0.567000 400 0 0.0
0.568000 400 0 0.0
0.569000 400 0 0.0
0.570000 400 1 0.0025
0.571000 400 1 0.0025
0.572000 400 1 0.0025
0.573000 400 4 0.01
0.574000 400 2 0.005
0.575000 400 5 0.0125
0.576000 400 5 0.0125
0.577000 400 7 0.0175
0.578000 400 6 0.015
0.579000 400 8 0.02
0.580000 400 18 0.045
0.581000 400 19 0.0475
0.582000 400 25 0.0625
0.583000 400 40 0.1
0.584000 400 42 0.105
0.585000 400 56 0.14
0.586000 400 74 0.185
0.587000 400 68 0.17
0.588000 400 105 0.2625
0.589000 400 117 0.2925
0.590000 400 150 0.375
0.591000 400 178 0.445
0.592000 400 172 0.43
0.593000 400 205 0.5125
0.594000 400 230 0.575
0.595000 400 234 0.585
0.596000 400 290 0.725
0.597000 400 289 0.7225
0.598000 400 315 0.7875
0.599000 400 323 0.8075
0.600000 400 337 0.8425
0.601000 400 342 0.855
0.602000 400 363 0.9075
0.603000 400 372 0.93
0.604000 400 376 0.94
0.605000 400 378 0.945
0.606000 400 392 0.98
0.607000 400 384 0.96
0.608000 400 392 0.98
0.609000 400 395 0.9875
0.610000 400 400 1.0
0.611000 400 396 0.99
0.612000 400 398 0.995
0.613000 400 399 0.9975
0.614000 400 399 0.9975
0.615000 400 400 1.0
0.616000 400 400 1.0
0.617000 400 400 1.0
0.618000 400 400 1.0
0.619000 400 400 1.0
0.620000 400 400 1.0
0.621000 400 400 1.0
0.622000 400 400 1.0
0.623000 400 400 1.0
0.624000 400 400 1.0
0.625000 400 400 1.0
0.626000 400 400 1.0
0.627000 400 400 1.0
0.628000 400 400 1.0
0.629000 400 400 1.0
