Runs :50
Difference : 1.0E-4
0.00000 50 0 0.0
0.000100000 50 0 0.0
0.000200000 50 0 0.0
0.000300000 50 0 0.0
0.000400000 50 0 0.0
0.000500000 50 0 0.0
0.000600000 50 0 0.0
0.000700000 50 0 0.0
0.000800000 50 0 0.0
0.000900000 50 0 0.0
0.00100000 50 0 0.0
0.00110000 50 0 0.0
0.00120000 50 0 0.0
0.00130000 50 0 0.0
0.00140000 50 0 0.0
0.00150000 50 0 0.0
0.00160000 50 0 0.0
0.00170000 50 0 0.0
0.00180000 50 0 0.0
0.00190000 50 0 0.0
0.00200000 50 0 0.0
0.00210000 50 0 0.0
0.00220000 50 0 0.0
0.00230000 50 0 0.0
0.00240000 50 0 0.0
0.00250000 50 0 0.0
0.00260000 50 0 0.0
0.00270000 50 0 0.0
0.00280000 50 0 0.0
0.00290000 50 0 0.0
0.00300000 50 0 0.0
0.00310000 50 0 0.0
0.00320000 50 0 0.0
0.00330000 50 0 0.0
0.00340000 50 0 0.0
0.00350000 50 0 0.0
0.00360000 50 0 0.0
0.00370000 50 0 0.0
0.00380000 50 0 0.0
0.00390000 50 0 0.0
0.00400000 50 0 0.0
0.00410000 50 0 0.0
0.00420000 50 0 0.0
0.00430000 50 0 0.0
0.00440000 50 0 0.0
0.00450000 50 0 0.0
0.00460000 50 0 0.0
0.00470000 50 0 0.0
0.00480000 50 0 0.0
0.00490000 50 0 0.0
0.00500000 50 0 0.0
0.00510000 50 0 0.0
0.00520000 50 0 0.0
0.00530000 50 0 0.0
0.00540000 50 0 0.0
0.00550000 50 0 0.0
0.00560000 50 0 0.0
0.00570000 50 0 0.0
0.00580000 50 0 0.0
0.00590000 50 0 0.0
0.00600000 50 0 0.0
0.00610000 50 0 0.0
0.00620000 50 0 0.0
0.00630000 50 0 0.0
0.00640000 50 0 0.0
0.00650000 50 0 0.0
0.00660000 50 0 0.0
0.00670000 50 0 0.0
0.00680000 50 0 0.0
0.00690000 50 0 0.0
0.00700000 50 0 0.0
0.00710000 50 0 0.0
0.00720000 50 0 0.0
0.00730000 50 0 0.0
0.00740000 50 0 0.0
0.00750000 50 0 0.0
0.00760000 50 0 0.0
0.00770000 50 0 0.0
0.00780000 50 0 0.0
0.00790000 50 0 0.0
0.00800000 50 0 0.0
0.00810000 50 0 0.0
0.00820000 50 0 0.0
0.00830000 50 0 0.0
0.00840000 50 0 0.0
0.00850000 50 0 0.0
0.00860000 50 0 0.0
0.00870000 50 0 0.0
0.00880000 50 0 0.0
0.00890000 50 0 0.0
0.00900000 50 0 0.0
0.00910000 50 0 0.0
0.00920000 50 0 0.0
0.00930000 50 0 0.0
0.00940000 50 0 0.0
0.00950000 50 0 0.0
0.00960000 50 0 0.0
0.00970000 50 0 0.0
0.00980000 50 0 0.0
0.00990000 50 0 0.0
0.0100000 50 0 0.0
0.0101000 50 0 0.0
0.0102000 50 0 0.0
0.0103000 50 0 0.0
