Runs :100
Difference : 0.001
0.00000 100 0 0.0
0.00100000 100 0 0.0
0.00200000 100 0 0.0
0.00300000 100 0 0.0
0.00400000 100 0 0.0
0.00500000 100 0 0.0
0.00600000 100 0 0.0
0.00700000 100 0 0.0
0.00800000 100 0 0.0
0.00900000 100 0 0.0
0.0100000 100 0 0.0
0.0110000 100 0 0.0
0.0120000 100 0 0.0
0.0130000 100 0 0.0
0.0140000 100 0 0.0
0.0150000 100 0 0.0
0.0160000 100 0 0.0
0.0170000 100 0 0.0
0.0180000 100 0 0.0
0.0190000 100 0 0.0
0.0200000 100 0 0.0
0.0210000 100 0 0.0
0.0220000 100 0 0.0
0.0230000 100 0 0.0
0.0240000 100 0 0.0
0.0250000 100 0 0.0
0.0260000 100 0 0.0
0.0270000 100 0 0.0
0.0280000 100 0 0.0
0.0290000 100 0 0.0
0.0300000 100 0 0.0
0.0310000 100 0 0.0
0.0320000 100 0 0.0
0.0330000 100 0 0.0
0.0340000 100 0 0.0
0.0350000 100 0 0.0
0.0360000 100 0 0.0
0.0370000 100 0 0.0
0.0380000 100 0 0.0
0.0390000 100 0 0.0
0.0400000 100 0 0.0
0.0410000 100 0 0.0
0.0420000 100 0 0.0
0.0430000 100 0 0.0
0.0440000 100 0 0.0
0.0450000 100 0 0.0
0.0460000 100 0 0.0
0.0470000 100 0 0.0
0.0480000 100 0 0.0
0.0490000 100 0 0.0
0.0500000 100 0 0.0
0.0510000 100 0 0.0
0.0520000 100 0 0.0
0.0530000 100 0 0.0
0.0540000 100 0 0.0
0.0550000 100 0 0.0
0.0560000 100 0 0.0
0.0570000 100 0 0.0
0.0580000 100 0 0.0
0.0590000 100 0 0.0
0.0600000 100 0 0.0
0.0610000 100 0 0.0
0.0620000 100 0 0.0
0.0630000 100 0 0.0
0.0640000 100 0 0.0
0.0650000 100 0 0.0
0.0660000 100 0 0.0
0.0670000 100 0 0.0
0.0680000 100 0 0.0
0.0690000 100 0 0.0
0.0700000 100 0 0.0
0.0710000 100 0 0.0
0.0720000 100 0 0.0
0.0730000 100 0 0.0
0.0740000 100 0 0.0
0.0750000 100 0 0.0
0.0760000 100 0 0.0
0.0770000 100 0 0.0
0.0780000 100 0 0.0
0.0790000 100 0 0.0
0.0800000 100 0 0.0
0.0810000 100 0 0.0
0.0820000 100 0 0.0
0.0830000 100 0 0.0
0.0840000 100 0 0.0
0.0850000 100 0 0.0
0.0860000 100 0 0.0
0.0870000 100 0 0.0
0.0880000 100 0 0.0
0.0890000 100 0 0.0
0.0900000 100 0 0.0
0.0910000 100 0 0.0
0.0920000 100 0 0.0
0.0930000 100 0 0.0
0.0940000 100 0 0.0
0.0950000 100 0 0.0
0.0960000 100 0 0.0
0.0970000 100 0 0.0
0.0980000 100 0 0.0
0.0990000 100 0 0.0
0.100000 100 0 0.0
0.101000 100 0 0.0
0.102000 100 0 0.0
0.103000 100 0 0.0
0.104000 100 0 0.0
0.105000 100 0 0.0
0.106000 100 0 0.0
0.107000 100 0 0.0
0.108000 100 0 0.0
0.109000 100 0 0.0
0.110000 100 0 0.0
0.111000 100 0 0.0
0.112000 100 0 0.0
0.113000 100 0 0.0
0.114000 100 0 0.0
0.115000 100 0 0.0
0.116000 100 0 0.0
0.117000 100 0 0.0
0.118000 100 0 0.0
0.119000 100 0 0.0
0.120000 100 0 0.0
0.121000 100 0 0.0
0.122000 100 0 0.0
0.123000 100 0 0.0
0.124000 100 0 0.0
0.125000 100 0 0.0
0.126000 100 0 0.0
0.127000 100 0 0.0
0.128000 100 0 0.0
0.129000 100 0 0.0
0.130000 100 0 0.0
0.131000 100 0 0.0
0.132000 100 0 0.0
0.133000 100 0 0.0
0.134000 100 0 0.0
0.135000 100 0 0.0
0.136000 100 0 0.0
0.137000 100 0 0.0
0.138000 100 0 0.0
0.139000 100 0 0.0
0.140000 100 0 0.0
0.141000 100 0 0.0
0.142000 100 0 0.0
0.143000 100 0 0.0
0.144000 100 0 0.0
0.145000 100 0 0.0
0.146000 100 0 0.0
0.147000 100 0 0.0
0.148000 100 0 0.0
0.149000 100 0 0.0
0.150000 100 0 0.0
0.151000 100 0 0.0
0.152000 100 0 0.0
0.153000 100 0 0.0
0.154000 100 0 0.0
0.155000 100 0 0.0
0.156000 100 0 0.0
0.157000 100 0 0.0
0.158000 100 0 0.0
0.159000 100 0 0.0
0.160000 100 0 0.0
0.161000 100 0 0.0
0.162000 100 0 0.0
0.163000 100 0 0.0
0.164000 100 0 0.0
0.165000 100 0 0.0
0.166000 100 0 0.0
0.167000 100 0 0.0
0.168000 100 0 0.0
0.169000 100 0 0.0
0.170000 100 0 0.0
0.171000 100 0 0.0
0.172000 100 0 0.0
0.173000 100 0 0.0
0.174000 100 0 0.0
0.175000 100 0 0.0
0.176000 100 0 0.0
0.177000 100 0 0.0
0.178000 100 0 0.0
0.179000 100 0 0.0
0.180000 100 0 0.0
0.181000 100 0 0.0
0.182000 100 0 0.0
0.183000 100 0 0.0
0.184000 100 0 0.0
0.185000 100 0 0.0
0.186000 100 0 0.0
0.187000 100 0 0.0
0.188000 100 0 0.0
0.189000 100 0 0.0
0.190000 100 0 0.0
0.191000 100 0 0.0
0.192000 100 0 0.0
0.193000 100 0 0.0
0.194000 100 0 0.0
0.195000 100 0 0.0
0.196000 100 0 0.0
0.197000 100 0 0.0
0.198000 100 0 0.0
0.199000 100 0 0.0
0.200000 100 0 0.0
0.201000 100 0 0.0
0.202000 100 0 0.0
0.203000 100 0 0.0
0.204000 100 0 0.0
0.205000 100 0 0.0
0.206000 100 0 0.0
0.207000 100 0 0.0
0.208000 100 0 0.0
0.209000 100 0 0.0
0.210000 100 0 0.0
0.211000 100 0 0.0
0.212000 100 0 0.0
0.213000 100 0 0.0
0.214000 100 0 0.0
0.215000 100 0 0.0
0.216000 100 0 0.0
0.217000 100 0 0.0
0.218000 100 0 0.0
0.219000 100 0 0.0
0.220000 100 0 0.0
0.221000 100 0 0.0
0.222000 100 0 0.0
0.223000 100 0 0.0
0.224000 100 0 0.0
0.225000 100 0 0.0
0.226000 100 0 0.0
0.227000 100 0 0.0
0.228000 100 0 0.0
0.229000 100 0 0.0
0.230000 100 0 0.0
0.231000 100 0 0.0
0.232000 100 0 0.0
0.233000 100 0 0.0
0.234000 100 0 0.0
0.235000 100 0 0.0
0.236000 100 0 0.0
0.237000 100 0 0.0
0.238000 100 0 0.0
0.239000 100 0 0.0
0.240000 100 0 0.0
0.241000 100 0 0.0
0.242000 100 0 0.0
0.243000 100 0 0.0
0.244000 100 0 0.0
0.245000 100 0 0.0
0.246000 100 0 0.0
0.247000 100 0 0.0
0.248000 100 0 0.0
0.249000 100 0 0.0
0.250000 100 0 0.0
0.251000 100 0 0.0
0.252000 100 0 0.0
0.253000 100 0 0.0
0.254000 100 0 0.0
0.255000 100 0 0.0
0.256000 100 0 0.0
0.257000 100 0 0.0
0.258000 100 0 0.0
0.259000 100 0 0.0
0.260000 100 0 0.0
0.261000 100 0 0.0
