Runs :100
Difference : 0.001
0.580000 100 1 0.01
0.581000 100 0 0.0
0.582000 100 0 0.0
0.583000 100 3 0.03
0.584000 100 1 0.01
0.585000 100 7 0.07
0.586000 100 7 0.07
0.587000 100 20 0.2
0.588000 100 16 0.16
0.589000 100 19 0.19
0.590000 100 38 0.38
0.591000 100 42 0.42
0.592000 100 38 0.38
0.593000 100 48 0.48
0.594000 100 53 0.53
0.595000 100 66 0.66
0.596000 100 76 0.76
0.597000 100 79 0.79
0.598000 100 89 0.89
0.599000 100 85 0.85
0.600000 100 84 0.84
0.601000 100 95 0.95
0.602000 100 96 0.96
0.603000 100 97 0.97
0.604000 100 99 0.99
0.605000 100 100 1.0
