Runs :100
Difference : 5.0E-4
0.585000 100 6 0.06
0.585500 100 6 0.06
0.586000 100 10 0.1
0.586500 100 14 0.14
0.587000 100 13 0.13
0.587500 100 20 0.2
0.588000 100 17 0.17
0.588500 100 9 0.09
0.589000 100 21 0.21
0.589500 100 20 0.2
0.590000 100 26 0.26
0.590500 100 27 0.27
0.591000 100 37 0.37
0.591500 100 39 0.39
0.592000 100 42 0.42
0.592500 100 43 0.43
0.593000 100 48 0.48
0.593500 100 54 0.54
0.594000 100 62 0.62
0.594500 100 67 0.67
0.595000 100 73 0.73
0.595500 100 63 0.63
0.596000 100 79 0.79
0.596500 100 73 0.73
0.597000 100 76 0.76
0.597500 100 85 0.85
0.598000 100 86 0.86
0.598500 100 92 0.92
0.599000 100 95 0.95
0.599500 100 93 0.93
0.600000 100 90 0.9
