Runs: 500
Size : 50
50 1443 0.5772
50 1660 0.664
50 1494 0.5976
50 1489 0.5956
50 1481 0.5924
50 1514 0.6056
50 1511 0.6044
50 1596 0.6384
50 1449 0.5796
50 1451 0.5804
50 1526 0.6104
50 1463 0.5852
50 1424 0.5696
50 1431 0.5724
50 1405 0.562
50 1421 0.5684
50 1490 0.596
50 1548 0.6192
50 1436 0.5744
50 1493 0.5972
50 1451 0.5804
50 1413 0.5652
50 1577 0.6308
50 1462 0.5848
50 1482 0.5928
50 1448 0.5792
50 1528 0.6112
50 1551 0.6204
50 1497 0.5988
50 1439 0.5756
50 1454 0.5816
50 1474 0.5896
50 1507 0.6028
50 1529 0.6116
50 1495 0.598
50 1355 0.542
50 1505 0.602
50 1366 0.5464
50 1444 0.5776
50 1583 0.6332
50 1580 0.632
50 1479 0.5916
50 1462 0.5848
50 1446 0.5784
50 1455 0.582
50 1400 0.56
50 1408 0.5632
50 1544 0.6176
50 1547 0.6188
50 1436 0.5744
50 1457 0.5828
50 1505 0.602
50 1415 0.566
50 1532 0.6128
50 1664 0.6656
50 1552 0.6208
50 1378 0.5512
50 1497 0.5988
50 1593 0.6372
50 1498 0.5992
50 1436 0.5744
50 1404 0.5616
50 1447 0.5788
50 1451 0.5804
50 1710 0.684
50 1370 0.548
50 1449 0.5796
50 1453 0.5812
50 1445 0.578
50 1409 0.5636
50 1377 0.5508
50 1495 0.598
50 1495 0.598
50 1536 0.6144
50 1489 0.5956
50 1476 0.5904
50 1453 0.5812
50 1391 0.5564
50 1384 0.5536
50 1464 0.5856
50 1422 0.5688
50 1512 0.6048
50 1482 0.5928
50 1477 0.5908
50 1393 0.5572
50 1557 0.6228
50 1498 0.5992
50 1448 0.5792
50 1444 0.5776
50 1504 0.6016
50 1529 0.6116
50 1462 0.5848
50 1575 0.63
50 1501 0.6004
50 1494 0.5976
50 1404 0.5616
50 1506 0.6024
50 1452 0.5808
50 1433 0.5732
50 1525 0.61
50 1531 0.6124
50 1427 0.5708
50 1404 0.5616
50 1433 0.5732
50 1382 0.5528
50 1486 0.5944
50 1391 0.5564
50 1421 0.5684
50 1480 0.592
50 1431 0.5724
50 1527 0.6108
50 1577 0.6308
50 1446 0.5784
50 1451 0.5804
50 1492 0.5968
50 1613 0.6452
50 1492 0.5968
50 1573 0.6292
50 1555 0.622
50 1441 0.5764
50 1561 0.6244
50 1409 0.5636
50 1556 0.6224
50 1553 0.6212
50 1511 0.6044
50 1544 0.6176
50 1493 0.5972
50 1446 0.5784
50 1504 0.6016
50 1486 0.5944
50 1464 0.5856
50 1432 0.5728
50 1469 0.5876
50 1518 0.6072
50 1460 0.584
50 1442 0.5768
50 1526 0.6104
50 1475 0.59
50 1459 0.5836
50 1557 0.6228
50 1448 0.5792
50 1569 0.6276
50 1491 0.5964
50 1537 0.6148
50 1322 0.5288
50 1373 0.5492
50 1470 0.588
50 1526 0.6104
50 1509 0.6036
50 1487 0.5948
50 1393 0.5572
50 1441 0.5764
50 1469 0.5876
50 1443 0.5772
50 1475 0.59
50 1392 0.5568
50 1496 0.5984
50 1493 0.5972
50 1501 0.6004
50 1563 0.6252
50 1533 0.6132
50 1514 0.6056
50 1390 0.556
50 1522 0.6088
50 1397 0.5588
50 1517 0.6068
50 1450 0.58
50 1406 0.5624
50 1443 0.5772
50 1485 0.594
50 1350 0.54
50 1486 0.5944
50 1453 0.5812
50 1595 0.638
50 1502 0.6008
50 1415 0.566
50 1601 0.6404
50 1523 0.6092
50 1559 0.6236
50 1392 0.5568
50 1570 0.628
50 1471 0.5884
50 1458 0.5832
50 1512 0.6048
50 1466 0.5864
50 1450 0.58
50 1479 0.5916
50 1394 0.5576
50 1619 0.6476
50 1568 0.6272
50 1620 0.648
50 1475 0.59
50 1494 0.5976
50 1467 0.5868
