Runs: 10
Size : 500
500 148453 0.593812
500 151014 0.604056
500 147041 0.588164
500 147548 0.590192
500 146629 0.586516
500 148164 0.592656
500 149798 0.599192
500 148924 0.595696
500 150121 0.600484
500 147943 0.591772

Size : 510
510 153383 0.5897078
510 154749 0.5949596
510 153745 0.59109956
510 152863 0.5877086
510 154943 0.5957055
510 154322 0.5933179
510 154654 0.59459436
510 152291 0.5855094
510 154252 0.5930488
510 155623 0.5983199

Size : 520
520 160841 0.59482616
520 159545 0.5900333
520 161765 0.59824336
520 160664 0.5941716
520 160530 0.59367603
520 161566 0.5975074
520 159446 0.58966714
520 160854 0.59487426
520 160271 0.5927182
520 161233 0.59627587

Size : 530
530 166434 0.59250265
530 168412 0.59954435
530 167331 0.595696
530 163507 0.58208257
530 164268 0.5847917
530 167228 0.5953293
530 165924 0.5906871
530 166850 0.59398365
530 166397 0.5923709
530 166072 0.59121394

Size : 540
540 173261 0.59417355
540 172122 0.5902675
540 172590 0.59187245
540 170896 0.5860631
540 171740 0.5889575
540 172692 0.5922222
540 174106 0.59707135
540 172281 0.59081274
540 174423 0.5981584
540 169452 0.58111113

Size : 550
550 178807 0.59109753
550 178509 0.5901124
550 181524 0.60007936
550 181337 0.59946114
550 178825 0.591157
550 180459 0.5965587
550 180626 0.59711075
550 181337 0.59946114
550 179489 0.5933521
550 178245 0.58923966

Size : 560
560 185954 0.59296554
560 187143 0.596757
560 185720 0.5922194
560 185803 0.59248406
560 182585 0.5822226
560 184392 0.5879847
560 183745 0.5859216
560 185986 0.5930676
560 184598 0.5886416
560 187806 0.5988712

Size : 570
570 192406 0.5922007
570 193491 0.59554017
570 194028 0.597193
570 192368 0.5920837
570 191982 0.59089565
570 194981 0.6001262
570 195851 0.60280395
570 192764 0.59330255
570 192292 0.5918498
570 193285 0.59490615

Size : 580
580 200467 0.59591854
580 199258 0.5923246
580 197096 0.58589774
580 200147 0.5949673
580 199289 0.59241676
580 197784 0.5879429
580 199638 0.59345424
580 197453 0.586959
580 198949 0.59140605
580 197369 0.58670926

Size : 590
590 206418 0.5929848
590 205397 0.5900517
590 207078 0.59488076
590 204682 0.5879977
590 205666 0.5908245
590 207973 0.59745187
590 206830 0.59416837
590 204781 0.5882821
590 207537 0.5961994
590 205884 0.59145075

Size : 600
600 216699 0.60194165
600 214135 0.5948194
600 212494 0.5902611
600 214125 0.59479165
600 213488 0.5930222
600 213550 0.5931944
600 213879 0.59410834
600 210400 0.58444446
600 213022 0.5917278
600 214088 0.5946889

Size : 610
610 221208 0.59448534
610 221976 0.59654933
610 220815 0.5934292
610 221762 0.5959742
610 220560 0.5927439
610 222218 0.5971997
610 220027 0.59131145
610 221814 0.5961139
610 222290 0.59739316
610 218631 0.5875598

Size : 620
620 227335 0.5914022
620 227623 0.5921514
620 229868 0.5979917
620 226903 0.5902783
620 227344 0.5914256
620 226245 0.5885666
620 227116 0.5908325
620 228165 0.5935614
620 230813 0.60045004
620 229106 0.5960094

Size : 630
630 238842 0.60176873
630 234466 0.59074324
630 235563 0.5935072
630 234701 0.59133536
630 236405 0.5956286
630 233704 0.5888234
630 235981 0.5945603
630 236557 0.5960116
630 233311 0.5878332
630 234937 0.59193

Size : 640
640 241816 0.5903711
640 242650 0.5924072
640 241181 0.5888208
640 244431 0.5967554
640 243071 0.59343505
640 243301 0.5939966
640 239471 0.584646
640 242663 0.59243894
640 241637 0.5899341
640 241881 0.5905298

Size : 650
650 251600 0.595503
650 253381 0.59971833
650 249082 0.5895432
650 251414 0.59506273
650 249794 0.5912284
650 252209 0.5969444
650 248260 0.5875976
650 250343 0.5925278
650 249237 0.58991003
650 250248 0.592303

Size : 660
660 257152 0.5903398
660 254800 0.5849403
660 259358 0.595404
660 258935 0.59443295
660 257900 0.59205693
660 261343 0.599961
660 261084 0.59936637
660 258612 0.59369147
660 259158 0.5949449
660 256811 0.58955693

Size : 670
670 263668 0.5873647
670 267565 0.5960459
670 267677 0.5962954
670 267676 0.59629315
670 267145 0.5951103
670 265807 0.59212965
670 269598 0.60057473
670 265567 0.591595
670 266922 0.5946135
670 265480 0.5914012

Size : 680
680 274995 0.5947124
680 276289 0.5975108
680 274427 0.593484
680 276930 0.59889704
680 276681 0.5983586
680 277610 0.60036767
680 271837 0.58788276
680 270066 0.58405274
680 272491 0.5892971
680 273392 0.59124565

Size : 690
690 283409 0.595272
690 282574 0.5935182
690 283207 0.59484774
690 283478 0.5954169
690 283070 0.59455997
690 281982 0.5922747
690 282308 0.59295946
690 281225 0.5906847
690 283217 0.5948687
690 285401 0.599456

Size : 700
700 288754 0.5892939
700 292421 0.59677756
700 292967 0.5978918
700 291553 0.5950061
700 293640 0.5992653
700 291124 0.59413064
700 290717 0.5933
700 291541 0.5949816
700 288382 0.5885347
700 291227 0.5943408
